id,CERTLEVP,PGMCIPAP,PGM_P034,PGM_P036,PGM_280A,PGM_280B,PGM_280C,PGM_280F,PGM_P401,STULOANS,DBTOTGRD,SCHOLARP,PREVLEVP,HLOSGRDP,GRADAGEP,GENDER2,CTZSHIPP,VISBMINP,DDIS_FL,PAR1GRD,PAR2GRD,BEF_P140,BEF_160,overqualified
4299,1.0,7.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,,9.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,,2.0,3.0,0
1710,4.0,,,4.0,2.0,2.0,2.0,1.0,6.0,1.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,6.0,1
2997,2.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,9.0,6.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,6.0,2.0,3.0,6.0,0
9795,,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,6.0,6.0,,3.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,,0
5781,1.0,8.0,1.0,6.0,6.0,2.0,2.0,1.0,1.0,2.0,6.0,6.0,6.0,1.0,1.0,1.0,,9.0,2.0,1.0,1.0,5.0,,0
9734,1.0,9.0,1.0,6.0,2.0,2.0,2.0,6.0,1.0,1.0,3.0,6.0,9.0,9.0,3.0,2.0,9.0,9.0,2.0,9.0,9.0,9.0,99.0,0
7419,1.0,9.0,1.0,6.0,,2.0,2.0,1.0,1.0,1.0,6.0,,6.0,1.0,1.0,2.0,1.0,2.0,,6.0,1.0,,3.0,0
10853,2.0,10.0,1.0,,2.0,2.0,1.0,2.0,2.0,2.0,6.0,6.0,9.0,9.0,2.0,Female,1.0,2.0,2.0,2.0,1.0,1.0,6.0,1
11085,3.0,6.0,1.0,6.0,9.0,6.0,2.0,6.0,2.0,2.0,6.0,3.0,3.0,3.0,,2.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,0
7262,1.0,4.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,2.0,1.0,,2.0,2.0,1.0,5.0,99.0,1
11468,2.0,10.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,9.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0
5760,1.0,10.0,1.0,6.0,2.0,2.0,2.0,9.0,3.0,9.0,,6.0,1.0,1.0,4.0,Female,9.0,1.0,2.0,1.0,1.0,3.0,99.0,0
11012,2.0,6.0,1.0,6.0,2.0,2.0,9.0,1.0,1.0,1.0,6.0,2.0,6.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,9.0,1.0,6.0,1
6240,1.0,5.0,1.0,6.0,2.0,9.0,1.0,2.0,,2.0,6.0,6.0,1.0,1.0,2.0,2.0,,2.0,2.0,9.0,1.0,1.0,6.0,1
6565,2.0,5.0,1.0,6.0,2.0,2.0,2.0,6.0,1.0,2.0,6.0,6.0,6.0,,7.0,,1.0,9.0,2.0,1.0,9.0,3.0,4.0,0
8158,2.0,5.0,2.0,5.0,6.0,6.0,2.0,1.0,2.0,2.0,6.0,6.0,1.0,2.0,1.0,Female,1.0,No,1.0,2.0,1.0,3.0,3.0,1
7747,2.0,4.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,2.0,1.0,,1.0,No,1.0,1.0,1.0,3.0,99.0,0
7936,2.0,4.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,6.0,6.0,2.0,1.0,2.0,1.0,2.0,1.0,,2.0,3.0,2.0,0
4527,3.0,8.0,1.0,6.0,2.0,6.0,2.0,1.0,1.0,2.0,6.0,9.0,3.0,3.0,3.0,1.0,9.0,2.0,2.0,1.0,1.0,,1.0,0
1547,3.0,99.0,2.0,,2.0,,2.0,1.0,2.0,,6.0,6.0,1.0,3.0,4.0,2.0,1.0,9.0,2.0,,1.0,1.0,6.0,1
847,9.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,9.0,3.0,1.0,0
8639,2.0,5.0,2.0,9.0,2.0,2.0,2.0,1.0,9.0,9.0,6.0,6.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,,0
7112,1.0,8.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,6.0,1
4932,2.0,9.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,6.0,6.0,,1.0,2.0,9.0,2.0,1.0,1.0,6.0,3.0,3.0,1
6145,9.0,9.0,1.0,,2.0,6.0,2.0,1.0,1.0,2.0,6.0,2.0,9.0,2.0,2.0,1.0,,2.0,1.0,1.0,3.0,1.0,3.0,0
3045,1.0,4.0,2.0,1.0,2.0,9.0,2.0,1.0,3.0,2.0,6.0,6.0,9.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,9.0,1.0,6.0,0
6037,3.0,4.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,6.0,9.0,3.0,3.0,3.0,9.0,1.0,9.0,1.0,1.0,6.0,3.0,6.0,0
867,1.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,6.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,6.0,0
3185,1.0,9.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,,1.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,1
1328,3.0,5.0,2.0,1.0,2.0,2.0,9.0,1.0,1.0,1.0,9.0,1.0,9.0,3.0,2.0,1.0,2.0,1.0,2.0,9.0,9.0,3.0,2.0,0
1918,1.0,8.0,1.0,6.0,9.0,9.0,9.0,9.0,1.0,2.0,0.0,6.0,6.0,9.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,0
6787,3.0,4.0,1.0,,9.0,2.0,6.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,,1.0,3.0,0
5360,2.0,5.0,1.0,6.0,2.0,2.0,6.0,1.0,1.0,9.0,1.0,6.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,6.0,0
3118,2.0,9.0,1.0,,,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,,1.0,1.0,1.0,2.0,2.0,3.0,6.0,1.0,6.0,0
4092,9.0,10.0,2.0,5.0,2.0,2.0,2.0,6.0,2.0,1.0,6.0,6.0,6.0,2.0,1.0,2.0,1.0,9.0,2.0,,1.0,1.0,3.0,0
4188,1.0,7.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,6.0,9.0,1.0,Male,9.0,1.0,,2.0,2.0,1.0,,0
5483,3.0,9.0,1.0,,2.0,2.0,2.0,,9.0,2.0,6.0,6.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,0
9762,2.0,4.0,2.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,6.0,6.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,1
946,1.0,5.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0,6.0,1.0,2.0,2.0,,2.0,1.0,1.0,,4.0,6.0,1
9285,3.0,99.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0,9.0,9.0,3.0,2.0,9.0,9.0,2.0,9.0,9.0,9.0,99.0,1
9978,2.0,8.0,1.0,,2.0,2.0,9.0,,1.0,2.0,6.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,,0
1764,3.0,2.0,2.0,6.0,2.0,2.0,2.0,1.0,,,0.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,9.0,1.0,6.0,1
4325,2.0,99.0,1.0,6.0,2.0,2.0,2.0,1.0,6.0,1.0,6.0,4.0,6.0,2.0,1.0,2.0,2.0,,2.0,3.0,3.0,3.0,1.0,0
3630,2.0,5.0,1.0,6.0,2.0,1.0,1.0,6.0,2.0,6.0,3.0,6.0,6.0,2.0,2.0,Female,1.0,,1.0,1.0,1.0,3.0,6.0,1
8106,1.0,9.0,1.0,,2.0,6.0,2.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,6.0,0
11434,2.0,4.0,1.0,6.0,1.0,6.0,6.0,2.0,2.0,2.0,6.0,6.0,6.0,9.0,1.0,1.0,1.0,9.0,2.0,1.0,6.0,3.0,3.0,0
11586,1.0,6.0,,6.0,2.0,2.0,2.0,6.0,2.0,1.0,6.0,6.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,99.0,0
12264,3.0,9.0,2.0,6.0,2.0,2.0,2.0,1.0,3.0,2.0,,6.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,0
12386,,5.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,6.0,,6.0,6.0,2.0,1.0,1.0,1.0,2.0,Without disability,3.0,6.0,,3.0,0
6804,3.0,4.0,2.0,1.0,6.0,2.0,2.0,1.0,1.0,2.0,,6.0,2.0,3.0,3.0,2.0,1.0,,1.0,3.0,1.0,1.0,6.0,1
460,,8.0,,6.0,2.0,,2.0,1.0,1.0,2.0,6.0,6.0,1.0,9.0,2.0,1.0,1.0,9.0,2.0,3.0,3.0,1.0,6.0,1
422,2.0,5.0,1.0,9.0,2.0,1.0,2.0,2.0,9.0,2.0,4.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,3.0,1.0,0
2869,2.0,99.0,1.0,6.0,2.0,,2.0,1.0,2.0,1.0,6.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,,0
949,3.0,6.0,1.0,6.0,2.0,2.0,2.0,1.0,,2.0,6.0,6.0,2.0,3.0,2.0,Female,3.0,Yes,2.0,6.0,1.0,1.0,5.0,1
2044,1.0,9.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,,1
4809,,,1.0,6.0,9.0,2.0,2.0,6.0,1.0,6.0,,6.0,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,0
5668,2.0,6.0,2.0,2.0,2.0,2.0,6.0,1.0,6.0,2.0,6.0,6.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,9.0,1.0,6.0,0
11985,2.0,99.0,2.0,1.0,2.0,,9.0,,9.0,1.0,6.0,6.0,2.0,2.0,3.0,1.0,1.0,,2.0,,1.0,1.0,6.0,1
6197,3.0,10.0,1.0,9.0,2.0,2.0,2.0,1.0,2.0,9.0,6.0,6.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,,1.0,3.0,1.0,1
3205,9.0,7.0,1.0,6.0,2.0,2.0,,,3.0,1.0,6.0,6.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,0
6202,2.0,9.0,1.0,9.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,9.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,6.0,0
10363,,,1.0,6.0,9.0,2.0,6.0,1.0,1.0,1.0,6.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,0
3686,3.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,9.0,2.0,6.0,,3.0,3.0,4.0,2.0,3.0,1.0,1.0,9.0,6.0,1.0,6.0,1
7180,3.0,8.0,1.0,6.0,2.0,2.0,2.0,1.0,9.0,2.0,6.0,4.0,3.0,3.0,,Female,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1
8094,1.0,5.0,1.0,6.0,2.0,2.0,2.0,1.0,9.0,1.0,0.0,6.0,2.0,2.0,1.0,2.0,1.0,9.0,1.0,1.0,1.0,1.0,6.0,1
11164,2.0,10.0,1.0,6.0,2.0,6.0,2.0,1.0,2.0,2.0,6.0,1.0,6.0,9.0,,2.0,1.0,2.0,2.0,6.0,1.0,3.0,2.0,0
7892,2.0,,,6.0,2.0,2.0,2.0,,1.0,6.0,6.0,6.0,6.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,9.0,3.0,2.0,1
2462,2.0,99.0,1.0,6.0,2.0,1.0,9.0,2.0,2.0,1.0,6.0,,6.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,1
9857,3.0,5.0,1.0,6.0,2.0,2.0,9.0,1.0,1.0,1.0,6.0,6.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,9.0,1.0,3.0,1.0,1
9506,1.0,7.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,,9.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,,3.0,0
216,3.0,99.0,1.0,6.0,,2.0,2.0,1.0,1.0,2.0,6.0,4.0,,,2.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,0
1726,9.0,8.0,1.0,6.0,9.0,2.0,9.0,1.0,1.0,1.0,,,9.0,1.0,,1.0,1.0,,2.0,9.0,1.0,3.0,3.0,1
1912,1.0,9.0,1.0,6.0,2.0,2.0,2.0,,1.0,2.0,6.0,6.0,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,6.0,0
1829,1.0,5.0,9.0,6.0,2.0,1.0,2.0,2.0,6.0,1.0,2.0,6.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,0
5044,2.0,4.0,1.0,6.0,6.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0,1.0,2.0,1.0,2.0,4.0,2.0,,,1.0,3.0,6.0,0
2564,2.0,5.0,1.0,6.0,2.0,6.0,2.0,1.0,1.0,1.0,6.0,6.0,6.0,2.0,1.0,1.0,1.0,Yes,2.0,2.0,2.0,3.0,2.0,0
9505,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,6.0,1.0,6.0,2.0,1.0,2.0,1.0,2.0,1.0,9.0,9.0,3.0,1.0,1
10472,,7.0,1.0,6.0,2.0,2.0,2.0,9.0,1.0,1.0,6.0,9.0,3.0,9.0,3.0,Female,,1.0,2.0,1.0,9.0,9.0,99.0,0
4282,1.0,99.0,1.0,6.0,2.0,2.0,,1.0,2.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,1
5707,3.0,4.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,6.0,0
2551,3.0,10.0,1.0,6.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,6.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,6.0,1.0,99.0,1
813,2.0,,9.0,6.0,2.0,2.0,2.0,1.0,,6.0,6.0,6.0,2.0,2.0,2.0,2.0,,1.0,1.0,2.0,1.0,4.0,3.0,0
8425,3.0,5.0,1.0,6.0,2.0,2.0,6.0,2.0,1.0,9.0,6.0,6.0,9.0,3.0,4.0,,1.0,2.0,,,1.0,1.0,6.0,0
2850,1.0,5.0,1.0,6.0,2.0,9.0,,1.0,1.0,1.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,With disability,1.0,9.0,1.0,5.0,0
12103,2.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,6.0,6.0,1.0,6.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1
12443,2.0,6.0,1.0,6.0,6.0,2.0,2.0,1.0,2.0,1.0,6.0,9.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,6.0,1
